service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
E10@1,1,1,1,1,1,0,0,20230313,20230613
T1@1,1,1,1,1,1,0,0,20230313,20230613
E10@2,0,0,0,0,0,1,0,20230313,20230613
T1@2,0,0,0,0,0,1,0,20230313,20230613
E10@3,0,0,0,0,0,0,1,20230313,20230613
T1@3,0,0,0,0,0,0,1,20230313,20230613
E10@5,0,0,0,0,0,0,0,20230313,20230613
T1@5,0,0,0,0,0,0,0,20230313,20230613
E101@1,1,1,1,1,1,0,0,20230313,20230613
T1D@1,1,1,1,1,1,0,0,20230313,20230613
T11@1,1,1,1,1,1,0,0,20230313,20230613
T11@2,0,0,0,0,0,1,0,20230313,20230613
T11@3,0,0,0,0,0,0,1,20230313,20230613
T11@5,0,0,0,0,0,0,0,20230313,20230613
T111@1,1,1,1,1,1,0,0,20230313,20230613
T2@1,1,1,1,1,1,0,0,20230313,20230613
T2@2,0,0,0,0,0,1,0,20230313,20230613
T2@5,0,0,0,0,0,0,0,20230313,20230613
T22@3,0,0,0,0,0,0,1,20230313,20230613
T22@5,0,0,0,0,0,0,0,20230313,20230613
T2A2@3,0,0,0,0,0,0,1,20230313,20230613
T2A2@5,0,0,0,0,0,0,0,20230313,20230613
T2A@1,1,1,1,1,1,0,0,20230313,20230613
T2A@2,0,0,0,0,0,1,0,20230313,20230613
T2A@5,0,0,0,0,0,0,0,20230313,20230613
T2A1@1,1,1,1,1,1,0,0,20230313,20230613
10.3@1,1,1,1,1,1,0,0,20230313,20230613
10.3@2,0,0,0,0,0,1,0,20230313,20230613
T3@1,1,1,1,1,1,0,0,20230313,20230613
T3@2,0,0,0,0,0,1,0,20230313,20230613
T3@3,0,0,0,0,0,0,1,20230313,20230613
T3@5,0,0,0,0,0,0,0,20230313,20230613
10.4@1,1,1,1,1,1,0,0,20230313,20230613
10.4@2,0,0,0,0,0,1,0,20230313,20230613
10.4@3,0,0,0,0,0,0,1,20230313,20230613
10.4@5,0,0,0,0,0,0,0,20230313,20230613
T4@1,1,1,1,1,1,0,0,20230313,20230613
T4@2,0,0,0,0,0,1,0,20230313,20230613
T4@3,0,0,0,0,0,0,1,20230313,20230613
T4@5,0,0,0,0,0,0,0,20230313,20230613
T5@1,1,1,1,1,1,0,0,20230313,20230613
T51@2,0,0,0,0,0,1,0,20230313,20230613
T51@5,0,0,0,0,0,0,0,20230313,20230613
10.52@1,1,1,1,1,1,0,0,20230313,20230613
T52@1,1,1,1,1,1,0,0,20230313,20230613
10.52@2,0,0,0,0,0,1,0,20230313,20230613
T52@2,0,0,0,0,0,1,0,20230313,20230613
10.52@3,0,0,0,0,0,0,1,20230313,20230613
T52@3,0,0,0,0,0,0,1,20230313,20230613
10.52@5,0,0,0,0,0,0,0,20230313,20230613
T52@5,0,0,0,0,0,0,0,20230313,20230613
10.6@1,1,1,1,1,1,0,0,20230313,20230613
T6@1,1,1,1,1,1,0,0,20230313,20230613
10.6@2,0,0,0,0,0,1,0,20230313,20230613
T6@2,0,0,0,0,0,1,0,20230313,20230613
10.6@3,0,0,0,0,0,0,1,20230313,20230613
T6@3,0,0,0,0,0,0,1,20230313,20230613
10.6@5,0,0,0,0,0,0,0,20230313,20230613
T6@5,0,0,0,0,0,0,0,20230313,20230613
10.61@1,1,1,1,1,1,0,0,20230313,20230613
10.61@2,0,0,0,0,0,1,0,20230313,20230613
10.61@3,0,0,0,0,0,0,1,20230313,20230613
10.61@5,0,0,0,0,0,0,0,20230313,20230613
10.62@1,1,1,1,1,1,0,0,20230313,20230613
10.62@2,0,0,0,0,0,1,0,20230313,20230613
10.62@3,0,0,0,0,0,0,1,20230313,20230613
10.62@5,0,0,0,0,0,0,0,20230313,20230613
10.7@1,1,1,1,1,1,0,0,20230313,20230613
10.7@2,0,0,0,0,0,1,0,20230313,20230613
10.7@3,0,0,0,0,0,0,1,20230313,20230613
10.7@5,0,0,0,0,0,0,0,20230313,20230613
10.71@1,1,1,1,1,1,0,0,20230313,20230613
10.71@2,0,0,0,0,0,1,0,20230313,20230613
T9@1,1,1,1,1,1,0,0,20230313,20230613
T9@2,0,0,0,0,0,1,0,20230313,20230613
T9@3,0,0,0,0,0,0,1,20230313,20230613
T9@5,0,0,0,0,0,0,0,20230313,20230613
T10@1,1,1,1,1,1,0,0,20230313,20230613
A14@1,1,1,1,1,1,0,0,20230313,20230613
A14@2,0,0,0,0,0,1,0,20230313,20230613
A14@3,0,0,0,0,0,0,1,20230313,20230613
A14@5,0,0,0,0,0,0,0,20230313,20230613
A141@1,1,1,1,1,1,0,0,20230313,20230613
A141@2,0,0,0,0,0,1,0,20230313,20230613
A141@3,0,0,0,0,0,0,1,20230313,20230613
A141@5,0,0,0,0,0,0,0,20230313,20230613
A142@1,1,1,1,1,1,0,0,20230313,20230613
A143@1,1,1,1,1,1,0,0,20230313,20230613
E6011@1,1,1,1,1,1,0,0,20230313,20230613
E6011@2,0,0,0,0,0,1,0,20230313,20230613
E6011@3,0,0,0,0,0,0,1,20230313,20230613
E6011@5,0,0,0,0,0,0,0,20230313,20230613
TR31@1,1,1,1,1,1,0,0,20230313,20230613
149@1,1,1,1,1,1,0,0,20230313,20230613
149@2,0,0,0,0,0,1,0,20230313,20230613
149@3,0,0,0,0,0,0,1,20230313,20230613
149@5,0,0,0,0,0,0,0,20230313,20230613
1493@1,1,1,1,1,1,0,0,20230313,20230613
1493@2,0,0,0,0,0,1,0,20230313,20230613
1493@3,0,0,0,0,0,0,1,20230313,20230613
1493@5,0,0,0,0,0,0,0,20230313,20230613
244@1,1,1,1,1,1,0,0,20230313,20230613
244@2,0,0,0,0,0,1,0,20230313,20230613
244@3,0,0,0,0,0,0,1,20230313,20230613
