stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
793,,LANDEL DE MOURA 2592 ,,-30.108881,-51.234968
6874,,SOUZA COSTA 540 ,,-30.04645,-51.137912
6873,,SOUZA COSTA SN ,,-30.049729,-51.139546
6872,,SOUZA COSTA SN ,,-30.049419,-51.139449
6871,,DOIS MIL SETECENTOS DEZOITO DF 755 ,,-30.051316,-51.14119
6870,,DOIS MIL SETECENTOS DEZOITO NN 755 ,,-30.051383,-51.140967
6869,,DOIS MIL SETECENTOS DEZOITO SN ,,-30.053279,-51.145544
6868,,DOIS MIL SETECENTOS DEZOITO SN ,,-30.053218,-51.145389
6867,,ASSIS BRASIL 6415 ,,-29.994694,-51.12983
6866,,JULIO DIAS DE SOUZA AL 519 ,,-30.161847,-51.19681
4155,,SERTORIO DF 9460 ,,-30.003726,-51.127566
3329,,BENNO MENTZ 1785 ,,-30.026902,-51.146345
3357,,VINTE QUATRO DE AGOSTO 61 ,,-30.027767,-51.139568
6862,,CATARINO ANDREATTA AL 180 ,,-30.119402,-51.206988
1292,,ALPES 732 ,,-30.089846,-51.195129
4583,,JOAO DE OLIVEIRA REMIAO DF 3931 ,,-30.105107,-51.116586
5185,,TOBAGO DF 868 ,,-30.157575,-51.140916
1847,,MONSENHOR VERAS 31 ,,-30.051603,-51.204838
1367,,HIPOLITO DA COSTA AL 30 ,,-30.066949,-51.230452
3318,,ALBERTO PASQUALINI 250 ,,-30.029945,-51.144839
849,,ICARAI DF 1174 ,,-30.088755,-51.241442
875,,ICARAI 768 ,,-30.085171,-51.240471
870,,ICARAI DF 920 ,,-30.08667,-51.240925
842,,ICARAI DF 1368 HIPÓDROMO,,-30.090673,-51.241929
844,,ICARAI 1368 ,,-30.090691,-51.241848
839,,ICARAI AL 1539 ,,-30.093243,-51.242764
840,,ICARAI 1556 BAZAR,,-30.093964,-51.243409
765,,WENCESLAU ESCOBAR 1012 ,,-30.098946,-51.24821
766,,WENCESLAU ESCOBAR 915-A ,,-30.099342,-51.248385
6861,,CARLOS CHAGAS 45 ,,-30.024893,-51.222965
6860,,JULIO DE CASTILHOS AL 131 ,,-30.026271,-51.225494
6859,,JOSE CARLOS DIAS DE OLIVEIRA  ,,-30.02661,-51.227557
6858,,JOSE CARLOS DIAS DE OLIVEIRA  ,,-30.026438,-51.22761
6857,,IRMAO FAUSTINO JOAO 994 ,,-30.020795,-51.093999
4775,,ANTERO SIMOES 174/164 ,,-30.021068,-51.096189
6856,,ANTONIO SEVERINO 826 ,,-30.019044,-51.098247
6855,,ANTONIO SEVERINO 700 ,,-30.019076,-51.099748
4765,,ANTONIO SEVERINO 509 ,,-30.019082,-51.100327
3556,,RIO GRANDE SN ,,-30.00468,-51.205496
4766,,ANTONIO SEVERINO 462 ,,-30.01881,-51.100215
508,,GUAIBA 4146 ,,-30.10076,-51.265319
6852,,ERNESTO NEUGEBAUER 1050 ,,-29.986331,-51.186469
1574,,BORGES DE MEDEIROS DF 1210 EF CAIXA ECONÔMICA,,-30.037646,-51.228216
1137,,MONTE CRISTO DF 38 ,,-30.117712,-51.207603
6557,,SOUZA MELO DF 1053 ,,-29.980815,-51.124901
5329,,JOAO PESSOA 312 ESCADARIA DA STA CASA,,-30.031105,-51.224052
727,,MONTE CRISTO 1018 ,,-30.122503,-51.219989
1830,,PADRE ANTONIO VIEIRA 202 ,,-30.060236,-51.202521
829,,ICARAI 1719 TUMELERO,,-30.094863,-51.24486
2807,,CAPITAO PEDRO WERLANG 498 ,,-30.059303,-51.154775
6851,,CUBANOS 137 ,,-30.058719,-51.167855
5971,,CAPITAO PEDROSO 560 ,,-30.165874,-51.147263
886,,COMANDAI 252 ,,-30.086856,-51.234026
885,,COMANDAI 251 IGREJA UNIVERSAL,,-30.08686,-51.234111
6850,,SEVERO DULLIUS 521 ,,-29.987181,-51.160419
4992,,MAIAS 686 ,,-29.991187,-51.095566
6192,,VEIGA 284 ,,-30.0667,-51.18387
4481,,JOAO ANTONIO SILVEIRA AL 6015 ,,-30.138774,-51.101859
762,,DR CASTRO DE MENEZES 730/736 ,,-30.102077,-51.248801
1739,,PROF CARVALHO FREITAS 1078 ,,-30.080054,-51.201433
6847,,PADRE CACIQUE EF SHOP. PONTAL ,,-30.078583,-51.246901
6846,,DEZESSETE JARDIM DONA LEOPOLDINA II DF 115 ,,-30.020816,-51.115052
6849,,POLONIA DF 50 ,,-30.007248,-51.207752
6057,,POLONIA DF 50 FERRAMENTAS GERAIS,,-30.007117,-51.208177
1624,,LOUREIRO DA SILVA 2001 EDEL TRADE CENTER,,-30.03496,-51.22202
2936,,CRISTOVAO COLOMBO AL 3719 ,,-30.016996,-51.182948
2948,,CRISTOVAO COLOMBO AL 4105 PRACA DO SKATE,,-30.018025,-51.178912
1511,,LOUREIRO DA SILVA 515 MINISTERIO DA FAZENDA,,-30.037286,-51.236374
6625,,EDGAR PIRES DE CASTRO AL 11757 ,,-30.214808,-51.10664
2938,,CRISTOVAO COLOMBO 3835 ,,-30.016958,-51.181364
5006,,OVIDIO CHAVES DF 410 ESQ.AMALIA IRACEMA,,-29.995658,-51.093099
5005,,OVIDIO CHAVES SN ,,-29.995754,-51.092695
4772,,IRMAOS MARISTAS DF 01 ,,-30.023922,-51.09755
