route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_time
T1,T1@1,T1-2@1#520,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#540,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#554,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#602,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#610,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#618,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#626,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#634,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#642,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#650,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#658,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#704,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#710,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#716,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#722,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#728,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#735,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#742,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#750,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#758,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#806,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#814,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#822,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#831,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#843,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#855,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#907,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#919,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#931,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#943,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#955,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1008,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1021,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1036,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1051,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1106,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1120,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1133,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1144,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1155,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1206,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1217,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1228,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1238,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1249,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1301,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1315,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1330,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1344,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1355,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1405,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1415,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1425,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1435,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1445,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1455,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1505,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1515,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1525,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1535,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1546,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1558,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1610,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1622,,,1,,T1-2,2,50
T1,T1@1,T1-2@1#1632,,,1,,T1-2,1,50
T1,T1@1,T1-2@1#1640,,,1,,T1-2,2,55
T1,T1@1,T1-2@1#1648,,,1,,T1-2,2,55
T1,T1@1,T1-2@1#1656,,,1,,T1-2,2,55
T1,T1@1,T1-2@1#1704,,,1,,T1-2,1,55
T1,T1@1,T1-2@1#1712,,,1,,T1-2,1,55
T1,T1@1,T1-2@1#1720,,,1,,T1-2,2,55
